year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2012,4,DL,Delta Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,189.00,7.00,3.44,0.00,2.56,0.00,1.00,0.00,0.00,247.00,160.00,0.00,55.00,0.00,32.00
2012,4,EV,ExpressJet Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,23.00,2.00,1.72,0.00,0.09,0.00,0.19,0.00,1.00,89.00,79.00,0.00,3.00,0.00,7.00
2012,4,F9,Frontier Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,17.00,5.00,1.82,0.00,0.65,0.00,2.54,0.00,0.00,200.00,136.00,0.00,12.00,0.00,52.00
2012,4,MQ,American Eagle Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,4.00,2.00,1.67,0.00,0.00,0.00,0.33,0.00,0.00,142.00,128.00,0.00,0.00,0.00,14.00
2012,4,OO,SkyWest Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,416.00,90.00,30.21,0.89,30.07,0.00,28.83,2.00,0.00,3240.00,1373.00,17.00,863.00,0.00,987.00
2012,4,UA,United Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,298.00,56.00,20.92,0.00,10.45,0.08,24.55,1.00,1.00,2742.00,996.00,0.00,346.00,10.00,1390.00
2012,4,WN,Southwest Airlines Co.,AUS,Austin  TX: Austin - Bergstrom International,1521.00,182.00,54.58,6.84,20.44,0.94,99.19,5.00,2.00,9226.00,2430.00,475.00,708.00,61.00,5552.00
2012,4,YV,Mesa Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,232.00,41.00,24.11,0.00,8.57,0.00,8.32,1.00,0.00,2098.00,1535.00,0.00,204.00,0.00,359.00
2012,5,AA,American Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,696.00,137.00,41.26,16.65,36.09,0.00,43.00,5.00,2.00,8582.00,2331.00,1405.00,1819.00,0.00,3027.00
2012,5,AS,Alaska Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,31.00,1.00,0.00,0.00,0.35,0.00,0.65,0.00,0.00,71.00,0.00,0.00,25.00,0.00,46.00
2012,5,B6,JetBlue Airways,AUS,Austin  TX: Austin - Bergstrom International,217.00,27.00,4.86,1.43,12.63,1.00,7.08,1.00,0.00,1155.00,138.00,42.00,373.00,15.00,587.00
