"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-12","9.84"," 1230"," 1228","0.19","0.0","0.0",,"41","36","  360","  360","0.0","19.9","23.9","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-13","3.58"," 1340"," 1453","0.00","0.0","0.0",,"49","35","  180","  150","0.0","10.1","13.0","    1",,,,,,"    1","    1",,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-14","9.40"," 1852"," 1837","0.00","0.0","0.0",,"68","36","  340","  350","0.0","32.0","40.9","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-15","10.51"," 0100"," 0100","0.00","0.0","0.0",,"52","33","  340","  350","0.0","23.0","31.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-16","5.59"," 1613"," 1612","0.00","0.0","0.0",,"57","30","  330","  330","0.0","17.0","21.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-17","4.70"," 1519"," 1518","0.00","0.0","0.0",,"61","32","  330","  350","0.0","17.0","21.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-18","4.70"," 1511"," 1704","0.00","0.0","0.0",,"63","31","  150","  140","0.0","15.0","17.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-19","6.93"," 1327"," 1455","0.00","0.0","0.0",,"60","44","  140","  150","0.0","15.0","17.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-20","8.50"," 2131"," 2130","0.00","0.0","0.0",,"69","46","  120","  110","0.0","17.0","21.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-21","6.49"," 2208"," 2207","0.01","0.0","0.0",,"72","54","  330","  330","0.0","17.0","21.0","    1","    1",,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-22","11.63"," 0509"," 0513","0.00","0.0","0.0",,"58","45","   10","   10","0.0","19.9","23.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-23","12.08"," 2356"," 2257","0.17","0.0","0.0",,"47","35","  360","  330","0.0","17.9","28.0","    1",,,"    1","    1",,,,,,,"    1",,"    1",,"    1",
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-24","8.72"," 1634"," 1531","0.00","0.0","0.0",,"54","35","  350","  300","0.0","17.9","23.9","    1",,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-25","8.72"," 1634"," 1625","0.00","0.0","0.0",,"62","29","  130","  120","0.0","21.9","30.0",,,,,,,,"    1",,,,,,,,,
