"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT18","WT22"
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-16","6.26"," 1531"," 1222","0.00","0.0","0.0",,"51","27","  310","  350","0.0","19.9","25.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-17","3.80"," 1504"," 1503","0.00","0.0","0.0",,"54","27","  320","  320","0.0","13.0","17.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-18","8.50"," 1740"," 1723","0.00","0.0","0.0",,"63","32","  160","  160","0.0","19.9","25.1",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-19","11.18"," 1454"," 1453","0.00","0.0","0.0",,"59","44","  170","  170","0.0","19.9","23.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-20","11.41"," 2108"," 2107","0.00","0.0","0.0",,"62","52","  150","  140","0.0","19.9","25.9","    1",,,,,,"    1","    1",,,,"    1",,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-21","12.08"," 1729"," 1627","0.06","0.0","0.0",,"67","41","  320","  310","0.0","23.0","33.1","    1",,,,"    1",,,,,,,"    1","    1",,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-22","10.74"," 0333"," 0035","0.00","0.0","0.0",,"41","36","  360","  330","0.0","17.9","23.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-23","10.74"," 0629"," 0351","0.00","0.0","0.0",,"42","33","  360","  360","0.0","19.9","25.9",,,,,,,,,,,,,,,"    1","    1",
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-24","7.83"," 0843"," 0843","0.00","0.0","0.0",,"48","30","  350","  350","0.0","17.9","21.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-25","15.88"," 1526"," 1502","0.00","0.0","0.0",,"58","35","  160","  150","0.0","25.1","32.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-26","11.86"," 1354"," 1959","0.01","0.0","0.0",,"51","39","  350","  360","0.0","19.9","23.9","    1",,,,"    1",,,,,,,"    1","    1",,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-27","3.13"," 1520"," 1521","0.00","0.0","0.0",,"64","33","  350","  350","0.0","15.0","19.9","    1",,,,,,,"    1",,,,"    1",,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-28","9.62"," 1325"," 1324","0.00","0.0","0.0",,"65","39","  140","  130","0.0","23.0","30.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-01","11.86"," 0604"," 0609","0.58","0.0","0.0",,"53","42","   70","   70","0.0","23.0","33.1","    1",,,,"    1",,,,,,,"    1","    1",,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-02","9.84"," 1326"," 1010","0.00","0.0","0.0",,"54","35","  340","  330","0.0","19.9","23.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-03","2.68"," 1819"," 1817","0.00","0.0","0.0",,"62","33","  110","  120","0.0","10.1","13.0","    1",,,,,,,,,,,"    1",,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-04","11.18"," 1705"," 1130","0.00","0.0","0.0",,"68","41","  160","  140","0.0","17.9","25.1",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-05","12.30"," 1507"," 1507","0.00","0.0","0.0",,"70","49","  150","  150","0.0","23.0","30.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-06","11.18"," 1603"," 1602","0.00","0.0","0.0",,"70","52","  180","  180","0.0","17.0","21.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-07","10.07"," 1827"," 1844","0.39","0.0","0.0",,"60","51","  130","  110","0.0","17.9","23.0","    1",,,,"    1",,,,,,,"    1",,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-08","14.76"," 1609"," 1513","0.28","0.0","0.0",,"61","53","  150","  170","0.0","25.9","34.9","    1",,"    1",,"    1",,,,,,,,"    1",,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-09","9.40"," 1524"," 1524","0.00","0.0","0.0",,"76","52","  220","  220","0.0","16.1","23.0","    1",,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-10","9.62"," 1522"," 1530","0.16","0.0","0.0",,"75","51","  240","  230","0.0","21.9","33.1","    1",,"    1","    1","    1",,,,,,,,,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-11","5.59"," 1830"," 1833","0.00","0.0","0.0",,"63","42","  310","  320","0.0","17.9","23.0",,,,,,,,,,,,,,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-12","14.76"," 1447"," 1407","0.00","0.0","0.0",,"67","44","  310","  310","0.0","33.1","45.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-13","7.83"," 1516"," 1328","0.00","0.0","0.0",,"67","46","  310","  330","0.0","21.0","25.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-14","6.26"," 2320"," 2214","0.00","0.0","0.0",,"73","46","   40","   40","0.0","17.9","25.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-15","9.62"," 0044"," 1523","0.00","0.0","0.0",,"65","49","   50","   30","0.0","17.9","23.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-16","8.05"," 1455"," 1437","0.02","0.0","0.0",,"62","48","  350","  350","0.0","17.9","23.9",,,,,"    1",,,,,,,,,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-17","7.83"," 1710"," 1607","0.00","0.0","0.0",,"64","42","  360","  360","0.0","16.1","23.0","    1",,,,,,"    1","    1",,,,"    1",,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-18","4.25"," 1933"," 1935","0.00","0.0","0.0",,"65","40","  150","  150","0.0","12.1","14.1",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-19","14.09"," 1126"," 1054","0.00","0.0","0.0",,"73","49","  170","  160","0.0","25.1","33.1",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-20","18.34"," 1608"," 1607","0.88","0.8","0.0",,"62","32","  320","  320","0.0","31.1","40.9","    1",,,,"    1",,,,,,,"    1",,,"    1","    1",
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-21","18.34"," 1334"," 1535","0.01","1.4","2.0",,"48","32","  320","  320","0.0","33.1","40.9","    1",,,,,,,"    1",,,,"    1",,,"    1","    1",
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-22","5.82"," 2218"," 2318","0.00","0.0","0.0",,"67","36","  180","  160","0.0","15.0","17.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-23","14.32"," 1634"," 1628","0.00","0.0","0.0",,"76","45","  170","  180","0.0","25.1","33.1",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-03-24","12.08"," 0108"," 0059","0.92","0.0","0.0",,"74","55","  180","  180","0.0","21.9","32.0","    1",,"    1",,"    1",,,"    1",,,,"    1",,,"    1",,
