STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/12/2010,8.5,1114,1055,0,0,0,,48,28,10,10,,17.9,23,1,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/13/2010,6.93,1647,1646,0,0,0,,58,26,190,180,,17.9,23,1,1,,,,,,,1,,1,,,,,,,1
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/14/2010,12.08,1645,1644,0,0,0,,69,30,10,10,,38,46.1,1,1,,,,,,,,,1,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/15/2010,9.62,1425,1138,0,0,0,,55,27,320,340,,21,25.9,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/16/2010,4.92,1559,1518,0,0,0,,59,24,360,350,,16.1,23,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/17/2010,1.34,1450,1414,0,0,0,,62,22,90,50,,8.1,16.1,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/18/2010,5.37,1610,1522,0,0,0,,64,26,130,160,,16.1,21.9,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/19/2010,6.04,449,448,0,0,0,,60,48,160,150,,15,17.9,1,,,,,,,1,,,1,1,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/20/2010,7.38,2121,2121,0,0,0,,70,54,130,130,,17,21.9,1,,,,,,,,,,1,1,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/21/2010,8.95,2257,2254,0,0,0,,77,48,360,360,,21,25.1,1,,,,,,,,,,1,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",2/22/2010,14.54,2239,2238,0,0,0,,54,40,10,10,,23,29.1,,,,,,,,,,,,,,,,,,
